\ ------------------------------------------------------------------------------------------------------------------
\
\ S4G pipeline 5 stellar masses.
\ 
\ M.Querejeta & S.Meidt, MPIA, Heidelberg, September 2014 (contact: querejeta@mpia.de)
\
\ ------------------------------------------------------------------------------------------------------------------
\ COLUMN DESCRIPTION:
\ 
\ Column #1: Galaxy name
\  
\ Column #2: Stellar mass (ICA-corrected 3.6um image integrated within the 25.5mag/arcsec^2 isophote; M/L=0.6 Msun/Lsun)
\  
\ Column #3: Flux of ICA-corrected 3.6um image integrated within the 25.5mag/arcsec^2 isophote
\  
\ Column #4: (Weighted) average signal-to-noise ratio of the original 3.6um image (see paper for details)
\  
\ Column #5: Distance (Muñoz-Mateos et al. 2015)
\  
\ Column #6: Hubble type (Buta et al. 2015)
\  
\ -----------------------------------------------------------------------------------
|       #1|             #2|             #3|             #4|             #5|      #6|
|   Galaxy|   Stellar mass|        s2 flux|            S/N|       Distance|Hubble T|
   NGC5962     46095216640     3127.145020       39.147694       34.049999        5
   NGC5963     10559232000      768.956177       21.066217       26.780001        3
   NGC5970     36544770048     2462.704102       37.318768       30.809999        5
   NGC5985    111051800576     3669.659668       25.708447       42.259998        2
   NGC6012     10552545280     1376.152100       27.103531       21.850000        2
   NGC6015     14027571200     3705.439941       28.591330       16.760000        6
   NGC6063     14955374592      518.502014       23.370451       46.169998        4
   NGC6070     49743073280     3260.684082       42.346111       31.340000        5
   NGC6106     10571034624     1083.149170       28.666384       24.620001        5
   NGC6140      6690785280      989.148438       10.769952       18.600000        7
   NGC6155     14404094976      647.290405       34.896507       32.200001        6
   NGC6207     10163021824     2492.523682       90.338547       19.180000        5
   NGC6217     22155780096     4579.123047       29.830488       23.900000        3
   NGC6236      3704337408      411.307220       10.223882       24.930000        8
   NGC6239      5629347840     1114.150024       23.460051       22.299999        9
   NGC6255      2474204672      206.844803        7.774416       22.700001        7
   NGC6267     34173841408      557.379333       25.123966       53.950001        3
   NGC6340     28999211008     4385.228027       82.893715       22.000000        0
   NGC6412     12447353856     1595.791260       22.279449       23.500000        6
   NGC6889      9282203648      144.363617       19.406466       34.799999        4
   NGC6902     65035902976     1320.668701       22.663389       38.500000        1
  NGC6902B      4505447424       83.775436        9.098088       38.200001        7
   NGC6923     42974224384     2942.927979       40.799339       36.189999        3
   NGC7051     15434903552     1303.120117       44.966423       27.379999        3
   NGC7070     13768902656      869.833740       15.303762       30.299999        5
   NGC7098     54100115456     3705.064941       22.153215       29.100000        0
   NGC7140     42160345088     2214.946045       15.535094       37.400002        2
   NGC7163      9740457984     1228.713501       17.026354       29.790001        1
   NGC7167     12594202624       79.492241       20.043312       31.100000        5
   NGC7171     36331634688     1050.885986       31.233063       41.009998        3
   NGC7179     40954716160      371.000122       31.359543       45.900002        0
   NGC7205     29396754432     6362.157227       47.083160       19.389999        4
   NGC7213    109884964864     8592.247070       24.762396       22.000000       -2
   NGC7219     25130946560      577.483093       37.487808       41.169998        1
   NGC7247     18702499840     1114.188843       61.305882       34.410000        3
   NGC7254      6711903232      239.309525       37.383247       36.310001        2
   NGC7290     14026255360      404.127655       26.961285       47.209999        3
   NGC7412      6410280960     2551.946289       21.603844       12.490000        4
   NGC7418     21844834304     3623.680664       20.913916       19.850000        5
   NGC7424      9321254912     2274.461914        7.931417       11.500000        6
   NGC7479    112058261504     4041.918457       29.033316       33.849998        3
   NGC7513     15759097856     2032.187866       27.316618       19.850000        1
   NGC7552     34514673664     8342.364258       57.708210       17.150000        1
   NGC7582     58343129088    13127.574219       51.601475       20.629999        1
   NGC7606     87386767360     4851.154297       42.848824       31.549999        3
   NGC7625     16372928512     2813.843262       58.225063       23.000000        1
   NGC7661      3337538048      156.601410        9.406528       32.099998        7
   NGC7689     17587957760     1936.251465       27.684450       25.219999        5
   NGC7714     19388313600     1615.747681        8.838962       30.920000        1
   NGC7716     23725785088      951.254028       24.286406       32.959999        2
   NGC7723     42306240512     3703.922852       35.430870       27.370001        2
   NGC7741      6201470976     2224.899902       37.852989       14.260000        6
   NGC7742     17343692800     2780.679199       28.660429       22.200001       -1
   NGC7750     11114901504      793.919739       34.822353       32.189999        4
   NGC7755     39154462720     1681.818115       21.855009       31.490000        4
   NGC7757     12417810432      513.799927       12.530885       39.419998        5
   NGC7798     27273129984      379.452576       39.683735       32.599998        3
 PGC010813       103938752       34.779362        7.429507       12.600000       10
 PGC011744      1392916736      309.373932       24.150215       20.910000        7
 PGC012633      8081967104      497.786194       24.859035       29.780001        2
 PGC027616      3150405120      186.380554        8.765440       27.350000        8
 PGC036217      4600615936      262.217377        7.359820       27.299999        6
 PGC037373      2506426624      146.133484       20.601177       27.500000        5
 PGC044952      4385337344      169.756226       16.557280       29.700001        7
 PGC050229      2023994112      295.847565       12.563490       21.620001       10
 PGC051291      1707048704       85.361549       10.567380       36.500000       10
 PGC052460      2814635264      305.964905       19.379921       25.090000        5
 PGC052853      7094760448      364.350891       11.400110       34.750000        6
 PGC053093     13572734976      691.265381       35.219833       38.580002        1
 PGC054944      9141944320      678.950439       27.483543       29.370001        7
 PGC072252      2253809408      268.128632       13.141809       27.690001        5
  UGC00313      2447242752      176.600861       19.798130       27.799999        3
  UGC02443      6673376256      327.626465       23.057327       38.500000        4
  UGC03070      2611726080       70.052536       26.433769       33.450001        8
  UGC04169      4798690304      331.106079       15.695655       32.630001        6
  UGC04306      8700491776     1419.490967       17.796097       33.580002       -1
  UGC04393      2366524416      105.451645        8.801525       19.350000       20
  UGC04621     12233865216      800.607605       36.975834       42.700001        2
  UGC04714      1034516096      253.949738       19.387587       16.700001        9
  UGC05354       511696192      116.424957       11.716873       15.610000        8
  UGC05403      5601238528      965.622864       26.882683       27.760000       -3
  UGC05456        58405140      239.350311       13.255991        4.050000       10
  UGC05707      2489641472       44.329098        6.189231       30.150000        7
  UGC05814      4476352512      651.683289       27.397568       25.080000        0
  UGC05832      1179328896      141.684967       12.605417       16.219999        9
  UGC05841      1959627008      240.452179       15.856327       25.139999        3
  UGC06309     22930903040      591.360840       23.899527       48.599998        5
  UGC06517      4067673088      241.088745       14.909803       33.209999        3
  UGC06903      8227043328      290.233337        8.781589       30.500000        6
  UGC06983      2606357504      211.580215        6.533068       20.200001        8
  UGC07143      2935284736      150.412796       24.960419       34.299999        3
  UGC08516      2943459072      212.024353       20.490864       23.250000        5
  UGC08658     10235203584      351.303802       10.345467       40.990002        4
  UGC08733      3997758976      151.033981        7.910241       33.480000        9
